City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Nantucket,US,2020-05-23 14:02:20,41.28,-70.1,62.01,93,90,5.82
70,Leningradskiy,RU,2020-05-23 14:03:10,69.38,178.42,28.06,98,100,3.96
71,Geraldton,AU,2020-05-23 14:03:10,-28.77,114.6,69.8,18,100,10.29
72,Kunya,NG,2020-05-23 14:03:11,12.22,8.53,98.6,37,20,4.7
73,Cherskiy,RU,2020-05-23 13:58:55,68.75,161.3,25.16,96,0,7.4
74,Namatanai,PG,2020-05-23 14:03:11,-3.67,152.43,81.34,79,11,4.0
75,Longyearbyen,SJ,2020-05-23 14:02:55,78.22,15.64,37.4,69,75,12.75
76,Punta Arenas,CL,2020-05-23 14:00:13,-53.15,-70.92,44.6,93,90,3.98
77,Yellowknife,CA,2020-05-23 14:03:11,62.46,-114.35,37.0,74,75,9.17
78,Xifeng,CN,2020-05-23 14:03:11,42.74,124.72,54.01,95,94,8.52
79,Warrnambool,AU,2020-05-23 14:03:12,-38.38,142.48,50.0,95,100,13.71
80,Christchurch,NZ,2020-05-23 13:59:58,-43.53,172.63,54.0,93,100,13.87
81,Eirunepe,BR,2020-05-23 14:03:12,-6.66,-69.87,86.29,68,39,1.23
82,Bafoulabe,ML,2020-05-23 14:03:12,13.81,-10.83,110.25,13,0,3.11
83,New Norfolk,AU,2020-05-23 14:03:12,-42.78,147.06,48.99,80,18,3.0
84,Vaini,TO,2020-05-23 14:03:13,-21.2,-175.2,64.4,100,20,2.24
85,Honningsvag,NO,2020-05-23 14:03:13,70.98,25.97,45.14,72,98,23.96
86,Tevaitoa,PF,2020-05-23 14:03:13,-16.78,-151.5,80.91,75,4,23.51
87,Bethel,US,2020-05-23 13:58:31,41.37,-73.41,66.2,88,90,5.82
88,Bosaso,SO,2020-05-23 14:03:13,11.28,49.18,93.6,45,6,2.82
89,Corinth,GR,2020-05-23 14:03:13,37.94,22.96,77.0,57,0,15.01
90,Sorland,NO,2020-05-23 14:03:13,67.67,12.69,47.35,79,100,16.51
91,Avarua,CK,2020-05-23 14:02:06,-21.21,-159.78,78.8,83,100,18.34
92,Panama City,PA,2020-05-23 14:03:14,8.99,-79.52,80.6,88,40,2.24
93,Norman Wells,CA,2020-05-23 14:03:14,65.28,-126.83,41.0,87,20,4.7
94,Carnarvon,AU,2020-05-23 13:58:38,-24.87,113.63,71.73,48,96,17.74
95,Siquinala,GT,2020-05-23 14:03:14,14.31,-90.97,80.6,94,20,4.7
96,Chara,RU,2020-05-23 14:03:14,56.91,118.26,44.91,58,36,6.67
97,Castro,BR,2020-05-23 13:58:28,-24.79,-50.01,56.62,78,100,13.87
98,Makakilo City,US,2020-05-23 13:58:34,21.35,-158.09,73.4,94,40,3.36
99,Mnogovershinnyy,RU,2020-05-23 14:03:14,53.94,139.92,32.67,100,90,3.96
100,Cayenne,GF,2020-05-23 13:59:26,4.93,-52.33,86.0,70,75,10.29
101,Necochea,AR,2020-05-23 14:01:56,-38.55,-58.74,43.0,92,55,4.0
102,Padang,ID,2020-05-23 14:03:15,-0.95,100.35,81.14,71,99,4.07
103,Fuente Palmera,ES,2020-05-23 14:03:15,37.7,-5.1,96.8,23,100,4.7
104,Hasaki,JP,2020-05-23 14:03:15,35.73,140.83,62.6,93,75,3.36
105,Jumla,NP,2020-05-23 14:03:03,29.27,82.18,59.43,60,4,3.49
106,Khatanga,RU,2020-05-23 14:03:15,71.97,102.5,62.22,64,41,10.45
107,Kruisfontein,ZA,2020-05-23 14:03:15,-34.0,24.73,66.36,52,0,9.35
108,Boende,CD,2020-05-23 14:03:16,-0.22,20.87,82.76,83,94,0.74
109,Gat,IL,2020-05-23 14:03:16,31.61,34.76,73.99,66,11,3.0
